,Game,Release date,Company,Genres,Mean Note,Number of Vote,store
2514,XCOM: Enemy Within,2013-11-12,,"Strategy, Turn-based strategy (TBS)",4.2,19326,google
2517,Dragon City,2012-05-08,,"Simulator, Strategy",4.6,7533558,google
2519,Black Desert Mobile,2019-12-11,,Hack and slash/Beat 'em up,4.0,265013,google
2523,Pianista: The Legendary Virtuoso,2017-06-29,,"Arcade, Music",4.1,11812,google
2526,Campaign Clicker,2016-10-05,,Indie,4.2,14498,google
2527,PES Club Manager,2015-06-03,Konami,"Simulator, Sport",4.0,975833,google
2531,A Hoy Pirates Adventure,2018-02-10,,Arcade,4.4,13,google
2533,Arena Allstars,2019-10-15,,Strategy,4.0,8898,google
2537,Blocky Pirates,2018-01-01,,"Adventure, Simulator",4.4,582,google
2540,Doodle God,2010-06-23,,"Indie, Puzzle, Simulator",4.0,15217,google
2544,Pocket Legends,2010-04-03,,Role-playing (RPG),4.2,112697,google
2545,Orc Dungeon,2019-02-14,,Turn-based strategy (TBS),4.1,247,google
2552,Tony Hawk's Skate Jam,2018-12-13,,"Arcade, Sport",3.7,6740,google
2572,Xen the Alien,2020-01-01,,Indie,4.2,27,google
2584,Pandemic: The Board Game,2013-10-03,,"Simulator, Strategy",2.4,5503,google
2588,Car Parking Game 3D - Real City Driving School,2014-05-11,,Simulator,4.5,191275,google
2600,Rocket of Whispers: Prologue,2018-09-12,,"Adventure, Indie",4.6,2768,google
2601,Yu-Gi-Oh! Duel Links,2016-11-17,Konami,"Quiz/Trivia, Strategy, Turn-based strategy (TBS)",4.5,1945621,google
2604,Teeny Titans,2016-06-23,,Unknow,4.4,24119,google
2621,WorldNeverland - Elnea Kingdom,2015-05-26,,"Role-playing (RPG), Simulator",4.2,13042,google
2622,Galaxy of Pen and Paper,2017-07-27,,"Indie, Role-playing (RPG)",4.3,1303,google
2634,Farming Simulator 18,2017-06-06,,"Simulator, Strategy",4.4,36982,google
2635,Lemmings,2018-12-20,,Platform,4.3,114218,google
2641,SpinSling,2017-10-13,,Indie,4.9,116,google
2645,Bloons TD 6,2018-06-14,,Strategy,4.7,132871,google
2646,Super Mario Run,2016-09-07,Nintendo,"Arcade, Platform",3.6,1465103,google
2651,Hidden City: Hidden Object Adventure,2014-02-20,,"Adventure, Puzzle",4.3,1024823,google
2652,Mini Racing Mania: Multiplayer,2017-06-07,,"Racing, Shooter, Strategy",3.9,250,google
2655,Super Fancy Pants Adventure,2017-09-20,,"Adventure, Arcade, Indie, Platform",4.0,133,google
2668,Rest in Pieces,2019-03-07,,"Arcade, Indie",4.3,16988,google
2674,Shroom Snatchers,2018-10-04,,Arcade,3.7,47,google
2683,Archlion Saga,2017-12-19,,"Adventure, Role-playing (RPG)",4.4,4666,google
2687,Crazy Taxi,1999-01-01,Sega,Racing,4.1,83699,google
2691,SimCity BuildIt,2014-12-16,ELECTRONIC ARTS,"Simulator, Strategy",4.4,4979909,google
2700,Anomaly 2,2013-05-15,,"Indie, Strategy",4.0,7894,google
2704,Mysterium,2017-01-12,,"Indie, Racing, Simulator, Strategy",4.1,1271,google
2715,12 Labours of Hercules IV: Mother Nature,2015-12-25,,"Adventure, Indie, Strategy",4.3,766,google
2720,Human Resource Machine,2015-10-15,,"Indie, Puzzle, Simulator",4.5,1964,google
2721,Stranger Things: The Game,2017-10-04,,Adventure,4.6,158727,google
2727,Rebuild 3: Gangs of Deadsville,2015-04-05,,"Indie, Simulator, Strategy",4.6,5433,google
2728,Grand Theft Auto: Chinatown Wars,2009-03-17,,"Adventure, Shooter",4.3,27204,google
2733,Turn Run,2018-07-15,,Arcade,5.0,90,google
2740,The Blockheads,2013-01-10,,"Adventure, Indie, Platform",4.0,293842,google
2749,Modern Combat Versus,2017-09-27,,Adventure,3.9,199309,google
2754,Icebreaker: A Viking Voyage,2013-06-14,,"Arcade, Puzzle",4.4,3631,google
2761,Oh...Sir! The Hollywood Roast,2017-05-31,,"Adventure, Arcade, Indie, Simulator",4.5,84,google
2762,Angry Birds 2,2011-12-31,,"Arcade, Puzzle",4.5,5225476,google
2765,Fotonica,2014-09-11,,"Arcade, Indie, Music, Pinball, Platform",4.6,3557,google
2777,Spider: Rite of the Shrouded Moon,2015-08-06,,"Adventure, Indie, Platform",4.2,403,google
2781,Old Man's Journey,2017-05-18,,"Adventure, Indie, Puzzle",4.4,3040,google
2785,Brawl Stars,2018-12-12,,Unknow,4.4,11364508,google
2795,Machinarium,2009-10-16,,"Adventure, Indie, Point-and-click, Puzzle",4.6,58461,google
2806,Peko Peko Sushi,2018-03-18,,"Arcade, Indie, Puzzle",4.3,97,google
2810,Block Strike,2015-01-01,,Shooter,4.0,1484798,google
2816,Getting Over It with Bennett Foddy,2017-12-06,,"Indie, Simulator",3.8,4255,google
2824,Bloons Monkey City,2014-12-03,,Strategy,4.3,162263,google
2827,Toon Blast,2017-03-03,,"Arcade, Puzzle",4.6,2790342,google
2832,Puzzle Retreat,2013-03-03,,Puzzle,4.5,50039,google
2833,Evolution 2: Battle for Utopia,2019-05-13,,Shooter,4.4,68834,google
2843,Swordigo,2012-03-22,,Platform,4.6,673601,google
2853,Extreme Demolition,2013-04-19,,Racing,4.4,73697,google
2854,Five Nights at Freddy's 3,2015-03-02,,"Adventure, Indie, Simulator",4.6,29996,google
2859,Lifeline: Silent Night,2015-12-16,,"Adventure, Indie, Strategy",4.6,8302,google
2863,Always Sometimes Monsters,2014-05-21,,"Adventure, Indie, Role-playing (RPG), Simulator",4.3,482,google
2867,BanG Dream! Girls Band Party!,2017-03-16,,Music,4.5,78042,google
2869,Lost Socks: Naughty Brothers,2016-10-17,,Indie,4.4,3887,google
2874,Lily's Garden,2019-02-04,,Arcade,4.6,616198,google
2884,Flame Glow,2018-05-12,,Unknow,4.1,120,google
2885,Unknown Fate,2018-09-06,,"Adventure, Indie, Puzzle",3.6,1184,google
2902,Tap Defense,2008-11-19,,Strategy,3.9,4884,google
2904,Temple Run 2,2013-01-17,,"Adventure, Platform",4.3,9115761,google
2917,Prison Life RPG,2015-03-31,,Role-playing (RPG),4.6,14949,google
2920,Paddle Fall,2018-10-22,,"Arcade, Indie",4.7,6,google
2922,TURF,2010-09-01,,"Puzzle, Sport",3.9,2455,google
2927,Spicy Piggy,2019-02-14,,"Indie, Platform",4.2,961,google
2930,Kicking King,2017-02-16,,Sport,4.7,18,google
2933,Dino Escape World: SURVIVAL ADVENTURE THRILLER,2018-01-26,,"Adventure, Indie",4.8,34,google
2936,The Escapists,2015-02-13,,"Adventure, Indie, Puzzle, Role-playing (RPG), Simulator, Strategy",3.8,11392,google
2937,Airport City,2012-08-09,,Strategy,4.1,822556,google
2939,Does not Commute,2015-03-06,,"Racing, Strategy",4.2,159587,google
2941,REDDEN,2015-07-09,,Platform,4.4,1463,google
2949,Trigger Heroes,2018-10-31,,"Indie, Shooter",4.0,3678,google
2955,OVIVO,2017-05-12,,"Adventure, Indie, Platform, Puzzle",4.5,314,google
2957,Deemo,2013-11-13,,"Adventure, Music",4.7,541935,google
2969,Archero,2019-03-23,,"Indie, Shooter",4.4,1143410,google
2970,Thor: War of Tapnarok,2019-01-28,,Unknow,4.5,17408,google
2972,Spiral Splatter,2016-02-24,,"Arcade, Indie, Puzzle",4.0,23,google
2983,Ingress,2013-10-30,,"Adventure, Role-playing (RPG), Strategy, Tactical",3.0,414619,google
2986,Pew Pew Planet,2020-02-03,,Shooter,2.6,37,google
2990,Draw a Stickman: EPIC 2,2015-07-09,,"Adventure, Indie, Puzzle, Role-playing (RPG)",4.4,6465,google
2993,My Child: Lebensborn,2018-05-08,,"Indie, Simulator",4.8,2702,google
2995,Virtual Virtual Reality,2017-03-09,,"Adventure, Indie, Simulator",4.8,473,google
2997,KNIGHTS,2016-05-30,,"Indie, Puzzle, Strategy",4.4,254,google
2999,Kingdom Hearts: Union X,2017-04-06,Square Enix,Hack and slash/Beat 'em up,4.4,108946,google
3000,Five Nights at Freddy's 4,2015-07-23,,"Adventure, Indie, Point-and-click, Strategy",4.5,24677,google
3008,Revue Starlight Re LIVE,2017-10-28,,"Adventure, Role-playing (RPG)",4.3,21183,google
3013,Switch To Dash,2017-05-06,,Arcade,2.5,356,google
3017,Evolution: The Video Game,2019-02-12,,Strategy,4.1,3190,google
3019,Second Galaxy,2019-09-11,,"Adventure, Role-playing (RPG), Shooter, Simulator, Strategy",4.0,44453,google
3023,Alphabetty Saga,2015-04-14,,Puzzle,4.6,354577,google
3031,Hungry Dragon,2018-08-30,Ubisoft,Arcade,4.4,233373,google
3035,Glow Puzzle by Glosculptor,2010-08-13,,Puzzle,4.5,23063,google
3042,Marvel Future Fight,2015-03-04,Netmarble,Role-playing (RPG),4.4,2771169,google
3053,Doom & Destiny Advanced,2015-08-03,,"Adventure, Indie, Role-playing (RPG)",4.7,8715,google
3056,Knights and Glory,2018-09-09,,"Indie, Strategy",4.2,8068,google
3058,World of Wizards,2017-12-17,,"Indie, Role-playing (RPG)",4.1,6181,google
3059,Almighty: God Idle Clicker,2018-08-02,,Simulator,4.2,39012,google
3070,Naruto x Boruto: Ninja Voltage,2017-11-21,Bandai Namco,"Role-playing (RPG), Strategy, Tactical",3.7,566629,google
3078,Oh...Sir!! The Insult Simulator,2016-10-25,,"Arcade, Indie, Simulator",4.2,734,google
3082,Pokémon Masters,2019-08-29,,Strategy,4.2,293674,google
3087,Doom 3: BFG Edition,2012-10-15,,Shooter,3.5,1112,google
3089,Cooking Fever,2014-08-19,,"Arcade, Strategy",4.4,4142838,google
3094,Shop Titans,2019-06-18,,"Role-playing (RPG), Simulator",4.2,108679,google
3099,8 Ball Pool,2013-01-24,,"Simulator, Sport, Strategy",4.5,18845825,google
3101,PewDiePie: Legend of the Brofist,2015-09-24,,"Adventure, Indie, Platform, Shooter",4.8,60739,google
3102,Men in Black: Global Invasion,2019-08-27,,Simulator,4.2,4862,google
3103,Kitten Squad,2015-09-15,,"Indie, Shooter",3.7,613,google
3108,Dawn of Titans,2015-03-11,,Strategy,4.4,504213,google
3109,Batman: The Enemy Within,2017-08-08,,"Adventure, Point-and-click",4.0,17526,google
3115,Pocket City,2018-07-31,,Simulator,4.5,6120,google
3120,"one night, hot springs",2018-02-27,,"Adventure, Indie, Simulator, Visual Novel",4.3,4165,google
3132,StormBorn: War of Legends,2015-11-16,,Role-playing (RPG),4.6,22394,google
3135,Battleheart Legacy,2014-05-28,,"Adventure, Indie, Role-playing (RPG)",4.6,7873,google
3138,Aka to Blue,2017-08-10,,"Arcade, Shooter",4.7,359,google
3141,AFK Arena,2019-01-01,,Unknow,4.6,2224371,google
3147,Poly Bridge,2016-07-12,,"Indie, Puzzle, Simulator",4.5,10974,google
3149,The Adventures of Bertram Fiddle: Episode 1 - A Dreadly Business,2014-12-11,,"Adventure, Indie, Point-and-click, Strategy",4.6,1526,google
3150,Jetpack Jump,2019-05-13,,"Arcade, Indie",4.1,199139,google
3159,Symphony of the Origin,2013-01-10,,Role-playing (RPG),4.5,3450,google
3168,Pocket Pursuit,2018-12-07,,Arcade,3.6,17,google
3174,Critical Ops,2016-01-01,,"Adventure, Shooter",4.3,2067051,google
3181,Full Pipe,2006-12-18,,"Adventure, Point-and-click, Puzzle",4.6,898,google
3187,Metro 2033: Wars,2014-09-08,,Unknow,4.0,68689,google
3188,Hill Climb Racing,2012-11-08,,Racing,4.4,9661255,google
3190,Sonic Forces: Speed Battle,2017-11-01,Sega,"Adventure, Racing",4.4,422416,google
3193,Galaxy on Fire 3 - Manticore,2016-12-08,,Shooter,3.3,22990,google
3196,Party in my Dorm,2010-12-22,,"Role-playing (RPG), Simulator",3.8,103624,google
3204,Antihero,2017-07-10,,"Indie, Strategy",4.4,211,google
3207,Subway Surfers,2012-05-24,,"Adventure, Arcade, Platform",4.5,32743782,google
3213,12 Labours of Hercules IX: A Hero's Moonwalk,2019-10-24,,"Adventure, Puzzle, Strategy",4.4,174,google
3222,Munin,2014-06-10,,"Adventure, Indie, Platform, Puzzle",4.1,66,google
3223,Snooker Stars,2017-06-28,,Sport,4.2,132159,google
3238,Angry Birds Evolution,2016-08-17,,"Role-playing (RPG), Tactical",4.3,450504,google
3252,Animal Crossing: Pocket Camp,2017-10-25,Nintendo,Simulator,4.4,566737,google
3267,Blades of Brim,2015-06-04,,"Adventure, Arcade",4.6,218620,google
3271,Love 365: Find Your Story,2017-06-01,,"Simulator, Visual Novel",3.9,11120,google
3275,Zombie Blast Crew,2019-10-28,,Shooter,4.2,5505,google
3277,Hay Day,2012-06-21,,"Adventure, Simulator",4.5,11407321,google
3281,Dub Dash,2015-10-08,,"Indie, Music, Platform, Racing",4.2,17123,google
3284,Deer Hunter 2018,2015-01-01,,"Point-and-click, Shooter",4.1,1016318,google
3285,Stray Cat Doors,2018-02-28,,"Adventure, Puzzle",4.7,39150,google
3286,Metal Slug Infinity,2019-04-15,,Role-playing (RPG),4.0,30190,google
3287,Skylanders: Ring of heroes,2019-02-28,,"Role-playing (RPG), Turn-based strategy (TBS)",4.0,27125,google
3288,Undervailt,2017-09-11,,Strategy,4.4,4379,google
3290,Adventures of Mana,2016-02-04,Square Enix,"Adventure, Hack and slash/Beat 'em up, Role-playing (RPG)",4.1,1727,google
3292,Aqueducts,2017-06-30,,Puzzle,4.6,45034,google
3295,Rollage,2018-03-23,,Arcade,4.7,10,google
3300,Injustice 2 Mobile,2017-05-09,Warner Bros,"Fighting, Role-playing (RPG), Turn-based strategy (TBS)",4.3,719066,google
3311,Lego Harry Potter: Years 1-4,2010-06-25,Warner Bros,Adventure,3.1,5841,google
3315,Sonic Dash,2013-03-07,Sega,"Arcade, Platform",4.6,4801447,google
3316,Battle Supremacy,2014-01-09,,"Arcade, Shooter, Simulator",3.3,213,google
3317,HeliHopper,2018-01-11,,Platform,4.0,125,google
3318,Black Clover Phantom Knights,2018-11-14,Bandai Namco,Role-playing (RPG),3.7,13039,google
3331,Legend of Ixtona,2014-09-17,,"Role-playing (RPG), Strategy",4.5,2449,google
3334,Canada 150 Trivia Quiz,2017-05-08,,Quiz/Trivia,3.9,8,google
3335,Chrono Trigger,1995-03-11,Square Enix,Role-playing (RPG),4.3,13412,google
3341,RollerCoaster Tycoon Touch,2017-02-22,,"Simulator, Strategy",4.2,267580,google
3342,Ritual: Sorcerer Angel,2019-06-14,,"Indie, Role-playing (RPG)",4.0,896,google
3343,Kingdom: New Lands,2016-08-09,,"Arcade, Indie, Simulator, Strategy",4.4,3705,google
3346,Ire: Blood Memory,2015-05-19,,"Adventure, Role-playing (RPG)",4.3,72512,google
3353,Growtopia,2012-12-01,Ubisoft,Indie,3.6,942127,google
3368,Limbo,2010-07-21,,"Adventure, Indie, Platform, Puzzle",4.6,48044,google
3369,Last Day on Earth: Survival,2017-05-25,,"Adventure, Hack and slash/Beat 'em up, Role-playing (RPG), Simulator, Strategy",4.3,3734029,google
3371,Stickman Skate Battle,2018-01-01,,Sport,4.2,198421,google
3374,Minecraft,2011-10-07,,"Adventure, Arcade, Indie, Simulator, Strategy",4.5,3258969,google
3384,Piece Out,2017-08-16,,Puzzle,4.3,796,google
3392,Towelfight 2: The Monocle of Destiny,2013-02-26,,Unknow,4.7,12340,google
3394,Cube Escape: The Lake,2015-04-01,,"Adventure, Puzzle",4.7,33911,google
3395,Dragalia Lost,2018-09-27,Nintendo,Role-playing (RPG),4.5,91660,google
3397,Citizen of Rome - Dynasty Ascendant,2019-01-01,,"Indie, Role-playing (RPG), Simulator",3.9,232,google
3398,Dash Quest Heroes,2017-12-14,,"Adventure, Indie, Role-playing (RPG)",4.0,12663,google
3404,DROP NOT!,2017-04-05,,Puzzle,4.2,929,google
3406,Reckless Racing 3,2016-12-03,,Racing,4.6,19183,google
3410,Legend of the Tetrarchs,2018-11-07,,"Adventure, Role-playing (RPG), Strategy",4.3,414,google
3411,60 Seconds!,2015-05-25,,"Adventure, Indie, Simulator, Strategy",4.1,11625,google
3416,Shadow Bug Rush,2016-10-07,,Unknow,4.4,5025,google
3421,Shadowgun Legends,2018-03-21,,"Role-playing (RPG), Shooter",4.3,263343,google
3433,Chef Wars Journeys,2018-05-23,,Quiz/Trivia,3.8,552,google
3437,Farm Punks,2019-08-22,,Indie,4.0,1699,google
3440,Perfect Angle,2015-12-22,,Puzzle,4.1,7233,google
3441,Alice's Patchworks 2,2016-10-07,,"Indie, Puzzle",2.6,26,google
3443,GT Racing 2: The Real Car Experience,2013-11-13,,"Arcade, Racing",4.4,1747449,google
3463,Rule with an Iron Fish,2016-07-22,,"Adventure, Indie, Role-playing (RPG), Simulator, Sport",4.8,380,google
3465,Summer Pockets,2018-06-29,,"Adventure, Visual Novel",4.5,850,google
3466,SaGa SCARLET GRACE: AMBITIONS,2018-08-02,Square Enix,"Adventure, Role-playing (RPG)",4.4,45,google
3470,TORN,2004-11-15,,Role-playing (RPG),3.9,4592,google
3474,Mr Pumpkin 2: Walls of Kowloon,2020-04-24,,Indie,4.5,117,google
3475,Terraforming Mars,2018-10-17,,Strategy,4.2,2340,google
3478,DEAD TRIGGER 2,2013-10-23,,Shooter,4.6,3011372,google
3480,Star Horizon,2015-05-28,,"Indie, Shooter",4.1,1938,google
3485,Caravan War,2018-01-02,,"Indie, Strategy",4.3,54541,google
3488,Valkyrie Anatomia: The Origin,2016-04-28,Square Enix,Role-playing (RPG),4.0,12184,google
3490,The Longest Game Ever 2,2019-06-03,,"Indie, Puzzle, Quiz/Trivia, Role-playing (RPG)",4.1,2023,google
3497,Batman: The Telltale Series,2016-08-02,,"Adventure, Point-and-click",3.9,13258,google
3502,Pokémon Quest,2018-05-29,,"Adventure, Strategy",4.3,110736,google
3527,Proverbidoms,2012-04-17,,"Indie, Puzzle",3.6,68,google
3542,Might & Magic: Chess Royale,2020-01-29,Ubisoft,"Strategy, Tactical",4.2,15023,google
3547,Elder Sign: Omens,2011-03-11,,"Adventure, Indie, Quiz/Trivia, Strategy",4.4,10017,google
3550,Grand Theft Auto: Liberty City Stories,2005-10-25,,"Adventure, Racing",4.4,15516,google
3562,Reigns: Her Majesty,2017-12-07,,"Indie, Role-playing (RPG), Simulator, Strategy",4.6,20139,google
3565,"Gunslinger, the first old west duel simulator",2018-03-30,,"Indie, Shooter, Simulator",3.6,19,google
3566,Arcane Quest Legends,2018-12-18,,Role-playing (RPG),3.8,15847,google
3568,Part Time UFO,2017-11-14,,"Adventure, Arcade",4.8,3648,google
3570,Hero Keeper,2015-01-01,,Unknow,3.7,10,google
3578,DemonCrawl,2019-11-05,,"Adventure, Indie, Puzzle, Role-playing (RPG), Strategy",3.8,195,google
3581,Raids & Puzzles: RPG Quest,2019-09-25,,Role-playing (RPG),4.0,10680,google
3582,Beach Buggy Racing 2,2020-02-27,,Racing,4.3,231548,google
3592,Epic Conquest,2017-10-05,,"Hack and slash/Beat 'em up, Role-playing (RPG)",4.7,181577,google
3593,Ninja Knight,2017-01-01,,"Adventure, Arcade, Hack and slash/Beat 'em up, Indie",3.7,528,google
3595,AdventureQuest 3D,2016-10-19,,"Adventure, Indie, Role-playing (RPG)",4.3,48176,google
3613,Townsmen,2012-01-01,,"Simulator, Strategy",4.3,371096,google
3614,Alvastia Chronicles,2018-01-30,,"Adventure, Indie, Role-playing (RPG)",4.6,316,google
3624,Tennis Clash,2019-10-18,,Sport,4.1,614839,google
3630,Sword Man - Monster Hunter,2018-05-21,,Adventure,4.0,10304,google
3641,Cosmic Express,2017-03-16,,"Indie, Puzzle",4.8,328,google
3651,12 Labours of Hercules VII: Fleecing the Fleece,2018-01-12,,"Adventure, Indie, Puzzle, Strategy",4.3,572,google
3658,Devil's Attorney,2012-10-11,,"Adventure, Strategy, Turn-based strategy (TBS)",4.5,14548,google
3660,Enigmata: Stellar War,2018-06-04,,"Adventure, Indie",4.4,323,google
3661,This War of Mine,2014-11-14,,"Adventure, Indie, Simulator, Strategy",4.4,25190,google
3665,Clash Royale,2016-01-04,,"Real Time Strategy (RTS), Strategy",4.3,28600239,google
3666,Astro Golf,2019-09-22,,"Puzzle, Sport",4.6,105,google
3667,ZigZag,2015-01-28,,Unknow,4.3,943822,google
3670,Plants vs. Zombies,2009-05-05,ELECTRONIC ARTS,"Puzzle, Real Time Strategy (RTS), Strategy, Tactical",4.3,4745262,google
3673,Lifeline,2015-04-20,,"Adventure, Indie, Role-playing (RPG), Strategy",4.5,72700,google
3674,Grand Theft Auto: San Andreas,2004-10-26,,"Adventure, Racing, Shooter, Sport",4.5,502283,google
3677,Sky Gamblers: Air Supremacy,2016-01-01,,"Arcade, Simulator",3.8,1924,google
3685,Phoenix Wright: Ace Attorney − Spirit of Justice,2016-06-09,,"Adventure, Point-and-click, Puzzle, Role-playing (RPG), Visual Novel",3.9,660,google
3688,The Sims Mobile,2018-03-06,ELECTRONIC ARTS,Simulator,4.0,1122967,google
3690,Pacific Fire,2019-06-01,,"Indie, Strategy, Turn-based strategy (TBS)",4.5,78,google
3693,Rope Around,2019-05-14,,"Indie, Puzzle",4.0,148001,google
3700,Stellar Fox,2017-01-01,,Puzzle,4.6,46294,google
3709,The Floor is LAVA - Original Game,2017-06-25,,"Arcade, Platform",4.6,23,google
3711,see/saw,2018-11-07,,"Indie, Platform, Puzzle",4.8,631,google
3713,Among Us,2018-06-15,,Unknow,4.4,693666,google
3725,Transit King,2017-06-20,,Simulator,4.1,31027,google
3727,2048,2014-03-09,,"Indie, Puzzle, Strategy",4.5,17871,google
3733,HELI 100,2019-06-13,,"Arcade, Indie, Shooter",3.8,1411,google
3736,Aralon: Forge and Flame,2015-12-02,,Role-playing (RPG),4.0,1345,google
3762,Marble Age,2015-03-04,,"Indie, Simulator, Strategy",4.6,801,google
3763,Marvel Puzzle Quest,2013-10-03,,"Puzzle, Role-playing (RPG)",4.3,336303,google
3764,Plague Inc.,2012-05-26,,"Real Time Strategy (RTS), Simulator, Strategy, Tactical",4.3,3236030,google
3766,Dawn of Isles,2019-05-30,NetEase,"Adventure, Role-playing (RPG)",4.0,19963,google
3768,Downwell,2015-10-15,,"Adventure, Indie, Platform",4.6,5486,google
3775,Warzone World,2019-01-15,,"Indie, Turn-based strategy (TBS)",4.4,10,google
3777,Blendoku 2,2015-11-19,,"Indie, Puzzle",4.8,71136,google
3785,Farming Simulator 16,2015-08-05,,"Simulator, Strategy",3.9,37177,google
3787,Stomp,2017-01-27,,"Arcade, Indie",5.0,9,google
3793,1-Bit Rogue,2016-10-20,,"Indie, Role-playing (RPG)",3.4,904,google
3795,Elman España:Anarchy,2017-01-01,,"Platform, Role-playing (RPG)",5.0,20,google
3796,I've Got A Brand New Pair Of Legs,2020-01-15,,"Arcade, Indie, Platform, Puzzle",5.0,10,google
3801,Lerry The Cube,2018-05-18,,Arcade,4.3,6,google
3804,Preventive Strike,2018-06-15,,"Arcade, Indie, Shooter",4.6,5,google
3810,Big Mountain Snowboarding,2010-05-29,,Sport,4.1,162,google
3818,Witcheye,2019-08-15,,"Adventure, Indie, Platform",4.6,355,google
3821,Sdorica -sunset-,2018-04-19,,"Role-playing (RPG), Turn-based strategy (TBS)",4.3,77882,google
3824,Dragon Quest,1986-05-27,Square Enix,"Adventure, Role-playing (RPG)",4.4,10674,google
3834,Flappy Pimba,2017-02-04,,Arcade,4.8,30200,google
3874,Eternium,2015-02-10,,Role-playing (RPG),4.8,2121480,google
3875,Bowmasters,2016-08-17,,"Arcade, Shooter, Turn-based strategy (TBS)",4.5,4146059,google
3879,Solomon's Keep,2010-04-02,,"Hack and slash/Beat 'em up, Role-playing (RPG)",4.1,4621,google
3880,Rise of Kingdoms,2018-09-21,,Strategy,4.4,1159847,google
3881,Words with Friends 2,2017-11-07,,Puzzle,3.9,315436,google
3887,Brown Dust,2019-03-07,,Unknow,4.4,117240,google
3888,Vainglory,2014-11-16,,"Adventure, Real Time Strategy (RTS), Role-playing (RPG), Strategy",3.7,820222,google
3895,Flip Man!,2019-05-21,,Arcade,3.4,769,google
3896,Boom Beach,2014-03-26,,"Real Time Strategy (RTS), Strategy",4.5,5948207,google
3900,SHREDD,2014-04-26,,Unknow,3.4,1697,google
3910,Good Dreams,2018-01-31,,"Arcade, Indie",4.2,144,google
3916,Cosmic Horizon - World First 3D Game Puzzle Ever,2017-12-03,,Puzzle,5.0,5,google
3919,The House of da Vinci,2017-06-22,,"Adventure, Indie, Puzzle, Strategy",4.7,24213,google
3928,Born 2 Run : Legend of Destiny,2019-05-07,,Unknow,5.0,11,google
3929,Dizzy Knight,2018-10-11,,Unknow,3.5,141,google
3932,Atomas,2015-02-24,,Puzzle,4.6,296812,google
3937,Buff Knight Advanced,2015-09-02,,"Indie, Role-playing (RPG)",3.4,14374,google
3941,Dungeon Defense,2016-11-08,,Strategy,4.7,91030,google
3942,Saint Seiya: Cosmo Fantasy,2017-11-27,Bandai Namco,Unknow,3.5,42922,google
3943,AUX B,2015-03-29,,Puzzle,4.5,12619,google
3949,Svajp,2019-06-14,,Puzzle,4.8,32,google
3950,The World Ends with You: Solo Remix,2012-08-27,Square Enix,Unknow,4.8,4616,google
3955,Mercenaries Saga 2,2010-01-01,,"Role-playing (RPG), Strategy, Tactical, Turn-based strategy (TBS)",2.9,1191,google
3972,Teamfight Tactics,2019-06-26,,"Strategy, Tactical",4.2,133154,google
3979,Pokémon: Magikarp Jump,2017-05-23,,Simulator,4.5,454439,google
3983,Guns of Boom,2017-05-16,,Shooter,4.1,1834508,google
3989,Talisman: The Horus Heresy,2016-02-22,,"Quiz/Trivia, Strategy",4.0,345,google
3991,Upgrade the game,2014-05-27,,Shooter,4.4,5756,google
3996,Red Comrades: For the Great Justice,1999-09-30,,Adventure,4.7,613,google
3999,The Swords,2016-02-08,,Unknow,4.7,336,google
4001,Dragon Quest VIII: Journey of the Cursed King,2004-11-27,Square Enix,"Adventure, Role-playing (RPG), Strategy",4.0,8547,google
4008,Alice's Patchwork,2016-03-03,,"Indie, Puzzle",3.8,158,google
4010,Battleheart 2,2018-07-12,,Role-playing (RPG),4.2,622,google
4011,Swap n Merge,2019-08-01,,Puzzle,4.0,21,google
4012,Zombie Night Terror,2016-07-20,,"Indie, Puzzle, Strategy",4.4,591,google
4014,Keno Prime,2017-10-26,,Strategy,4.4,279,google
4015,Table Tennis Touch,2014-05-15,,"Arcade, Sport",4.0,86107,google
4021,Faraway 2,2018-05-01,,"Adventure, Puzzle",4.3,35218,google
4023,Jack & The Diamonds,2019-02-18,,Adventure,4.3,6,google
4030,Evoland,2013-04-04,,"Adventure, Indie, Role-playing (RPG)",4.2,10415,google
4034,A Good Snowman Is Hard To Build,2015-02-25,,"Indie, Puzzle",4.7,484,google
4037,The Curse of the Mushroom King,2016-01-14,,"Adventure, Point-and-click",4.5,1923,google
4047,1000 Words,2016-11-01,,Puzzle,4.3,5139,google
4053,Canabalt,2009-10-02,,"Arcade, Indie, Platform",4.2,3381,google
4055,Hacker.exe,2018-08-31,,"Adventure, Indie, Puzzle, Simulator, Strategy",3.6,1096,google
4063,Dynamite Headdy Classic,2018-04-18,Sega,"Adventure, Platform",4.3,1027,google
4071,Keep Sheep Safe!,2017-07-28,,Puzzle,4.9,28,google
4076,Reigns,2016-08-10,,"Adventure, Indie, Role-playing (RPG), Simulator, Strategy",4.6,144928,google
4080,The Room,2010-09-03,,"Adventure, Indie, Point-and-click, Puzzle",4.8,253857,google
4087,Arcaea,2017-03-09,,Music,4.6,50619,google
4088,Wholesome Cats,2018-10-27,,"Adventure, Role-playing (RPG)",4.0,1246,google
4097,Lifeline: Whiteout,2016-05-25,,"Adventure, Indie",4.7,14150,google
4098,Drop7,2009-01-01,,"Puzzle, Shooter",4.6,8916,google
4100,Star Traders: Frontiers,2017-11-14,,Role-playing (RPG),4.5,1513,google
4101,Gems of War,2014-11-19,,"Adventure, Puzzle, Role-playing (RPG), Strategy",4.5,112373,google
